,,,,מספר נבדק (המספר שפלג נתן לך),שנת לידה,מגדר,מצב משפחתי,ארץ לידה,ארץ לידת האב,ארץ לידת האם,השכלה (ניתן לסמן גם אם הינך במהלך רכישת ההשכלה),האם הנך בעל/ת הכנסה קבועה או מלגה?,, [אעזור לאדם זר שלא יודע את הדרך להגיע ליעד],כיצד הנך תופס/ת את מצבך הסוציו-אקונומי?, [אפרוט כסף עבור אדם זר], [אתן כסף לצדקה], [אתרום מוצרים/ בגדים לצדקה], [אתנדב בארגון צדקה], [אתרום דם], [אעכב את המעלית עבור אדם זר כדי שיספיק לעלות], [אתן למישהו שזקוק לכך לעקוף אותי בתור], [אעזור לחבר ללימודים שאיני מכיר היטב במטלה שמתקשה בה ], [אוותר על מקומי באוטובוס/רכבת בשביל זר שנאלץ לעמוד],אני רואה עצמי כאדם... [דברן],אני רואה עצמי כאדם... [מאופק],אני רואה עצמי כאדם... [אנרגטי],אני רואה עצמי כאדם... [מפגין התלהבות],אני רואה עצמי כאדם... [נוטה להיות שקט],אני רואה עצמי כאדם... [בעל אישיות אסרטיבית/החלטית],אני רואה עצמי כאדם... [עצור ומבוייש],אני רואה עצמי כאדם... [חברותי ופתוח],השתייכות דתית
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2019 13:09:28,,,,001,1996,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני-גבוה,3,4,4,5 (בסבירות גבוהה),2,3,4,5 (בסבירות גבוהה),4,3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),יהודית
4/4/2019 13:11:12,,,,2,1989,זכר,נשוי/אה,ישראל,ישראל,ישראל,אקדמאית- תואר שני,כן,,5 (בסבירות גבוהה),נמוך-בינוני,4,5 (בסבירות גבוהה),4,3,3,5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),4,4 (די מסכים),2 (די מתנגד),4 (די מסכים),4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),יהודית
4/6/2019 18:54:15,,,,004,1987,נקבה,רווק/ה,ישראל,ישראל,ארצות הברית,אקדמאית- תואר שני,לא,,3,נמוך-בינוני,2,1 (כלל לא סביר),3,2,2,3,3,3,2,3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),4 (די מסכים),יהודית
4/6/2019 19:05:29,,,,3,1994,זכר,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני,4,3,4,4,1 (כלל לא סביר),4,4,3,2,4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),יהודית
4/8/2019 11:53:10,,,,005,1987,נקבה,רווק/ה,ישראל,סוריה,ישראל,אקדמאית- תואר שני,כן,,5 (בסבירות גבוהה),בינוני,4,4,5 (בסבירות גבוהה),2,1 (כלל לא סביר),2,2,4,3,4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),1 (לא מסכים כלל),4 (די מסכים),יהודית
